ID,CardColor,Text,How many cards are picked?
1,0,Flying sex snakes.,0
2,0,Michelle Obama's arms.,0
3,0,German dungeon porn.,0
4,0,White people.,0
5,0,Getting so angry that you pop a boner.,0
6,0,Tasteful sideboob.,0
7,0,Praying the gay away.,0
8,0,Two midgets shitting into a bucket.,0
9,0,MechaHitler.,0
10,0,Being a motherfucking sorcerer.,0
11,0,A disappointing birthday party.,0
12,0,Puppies!,0
13,0,A windmill full of corpses.,0
14,0,Guys who don't call.,0
15,0,Radially-biased SAT questions.,0
16,0,Dying.,0
17,0,Steven Hawking talking dirty.,0
18,0,Being on fire.,0
19,0,A lifetime of sadness.,0
20,0,An erection that lasts longer than four hours.,0
21,0,AIDS,0
22,0,Same-sex ice dancing.,0
23,0,Glenn Beck catching his scrotum on a curtain hook.,0
24,0,The Rapture.,0
25,0,Pterodactyl eggs.,0
26,0,Crippling debt.,0
27,0,Eugenics.,0
28,0,Exchanging pleasantries.,0
29,0,Dying of dysentery.,0
30,0,Roofies.,0
31,0,Getting naked and watching Nickelodeon.,0
32,0,The forbidden fruit.,0
33,0,Republicans,0
34,0,The Big Bang.,0
35,0,Anal beads.,0
36,0,Amputees.,0
37,0,Men.,0
38,0,Surprise sex!,0
39,0,Kim Jong-il.,0
40,0,Concealing a boner,0
41,0,Agriculture.,0
42,0,Glenn Beck being harried by a swarm of buzzards.,0
43,0,Making a pouty face.,0
44,0,A salty surprise.,0
45,0,The Jews.,0
46,0,Charisma.,0
47,0,YOU MUST CONSTRUCT ADDITIONAL PYLONS.,0
48,0,Panda sex.,0
49,0,Taking off your shirt.,0
50,0,A drive-by shooting.,0
51,0,Ronald Reagan.,0
52,0,Morgan Freeman's voice.,0
53,0,Breaking out into song and dance.,0
54,0,Jewish fraternities.,0
55,0,Dead babies.,0
56,0,Masturbation.,0
57,0,Hormone injections.,0
58,0,All-you-can-eat shrimp for $4.99.,0
59,0,Incest.,0
60,0,Scalping.,0
61,0,Soup that is too hot.,0
62,0,The Übermensch.,0
63,0,Nazis.,0
64,0,Tom Cruise.,0
65,0,Stifling a giggle at the mention of Hutus and Tutsis.,0
66,0,Edible underpants.,0
67,0,The Hustle.,0
68,0,A Super Soaker™ full of cat pee.,0
69,0,Figgy pudding.,0
70,0,Object permanence.,0
71,0,Consultants.,0
72,0,Intelligent design.,0
73,0,Nocturnal emissions.,0
74,0,Uppercuts.,0
75,0,Being marginalized.,0
76,0,The profoundly handicapped.,0
77,0,Obesiity.,0
78,0,Chutzpah.,0
79,0,Unfathomable stupidity.,0
80,0,Repression.,0
81,0,Attitude.,0
82,0,Passable transvestites.,0
83,0,Party poopers.,0
84,0,The American Dream,0
85,0,Child beauty pageants.,0
86,0,Puberty.,0
87,0,Testicular torsion.,0
88,0,The folly of man.,0
89,0,Nickelback.,0
90,0,Swooping.,0
91,0,Goats eating cans.,0
92,0,The KKK.,0
93,0,Kamikaze pilots.,0
94,0,Horrifying laser hair removal accidents.,0
95,0,Adderall™.,0
96,0,A look-see.,0
97,0,Doing the right thing.,0
98,0,The taint; the grundle; the fleshy fun-bridge.,0
99,0,Lactation.,0
100,0,Pabst Blue Ribbon.,0
101,0,Powerful thighs.,0
102,0,Saxophone solos.,0
103,0,The gays.,0
104,0,A middle-aged man on roller skates.,0
105,0,A foul mouth.,0
106,0,The thing that electrocutes your abs.,0
107,0,Heteronormativity.,0
108,0,Cuddling.,0
109,0,Coat hanger abortions.,0
110,0,A big hoopla about nothing.,0
111,0,Boogers.,0
112,0,A hot mess.,0
113,0,Raptor attacks.,0
114,0,My collection of high-tech sex toys.,0
115,0,Fear itself.,0
116,0,Bees?,0
117,0,Getting drunk on mouthwash.,0
118,0,Sniffing glue.,0
119,0,Oversized lollipops.,0
120,0,An icepick lobotomy.,0
121,0,Being rich.,0
122,0,Friends with benefits.,0
123,0,Teaching a robot to love.,0
124,0,Women's suffrage.,0
125,0,Me time.,0
126,0,The heart of a child.,0
127,0,Smallpox blankets.,0
128,0,The clitoris.,0
129,0,John Wilkes Booth.,0
130,0,The glass ceiling.,0
131,0,Sarah Palin.,0
132,0,Sexy pillow fights.,0
133,0,Yeast.,0
134,0,Full frontal nudity.,0
135,0,Parting the Red Sea.,0
136,0,A Bop It™.,0
137,0,Michael Jackson.,0
138,0,Team-building exercises.,0
139,0,Harry Potter erotica.,0
140,0,Authentic Mexican cuisine.,0
141,0,Frolicking.,0
142,0,Sexting.,0
143,0,Grandma.,0
144,0,Not giving a shit about the Third World.,0
145,0,Licking things to claim them as your own.,0
146,0,Genghis Khan.,0
147,0,The hardworking Mexican.,0
148,0,RoboCop.,0
149,0,My relationship status.,0
150,0,Scrubbing under the folds.,0
151,0,Porn Stars.,0
152,0,Horse meat.,0
153,0,Sunshine and rainbows.,0
154,0,Expecting a burp and vomiting on the floor.,0
155,0,Barack Obama.,0
156,0,Spontaneous human combustion.,0
157,0,Natural selection.,0
158,0,Mouth herpes.,0
159,0,Flash flooding.,0
160,0,Goblins.,0
161,0,A monkey smoking a cigar.,0
162,0,Spectacular abs.,0
163,0,A good sniff.,0
164,0,Wiping her butt.,0
165,0,The Three-Fifths compromise.,0
166,0,Pedophiles.,0
167,0,Doin' it in the butt.,0
168,0,Being fabulous.,0
169,0,Mathletes.,0
170,0,Wearing underwear inside-out to avoid doing laundry.,0
171,0,Nipple blades.,0
172,0,An M. Night Shyamalan plot twist.,0
173,0,A bag of magic beans.,0
174,0,Vigorous jazz hands.,0
175,0,A defective condom.,0
176,0,Skeletor.,0
177,0,Vikings.,0
178,0,Leaving an awkward voicemail.,0
179,0,Teenage pregnancy.,0
180,0,Dead parents.,0
181,0,Hot cheese.,0
182,0,My sex life.,0
183,0,A mopey zoo lion.,0
184,0,Assless chaps.,0
185,0,Riding off into the sunset.,0
186,0,Lance Armstrong's missing testicle.,0
187,0,"Sweet, sweet vengeance.",0
188,0,Genital piercings.,0
189,0,Keg stands.,0
190,0,Darth Vader.,0
191,0,Viagra®.,0
192,0,Necrophilia.,0
193,0,A really cool hat.,0
194,0,Toni Morrison's vagina.,0
195,0,An Oedipus complex.,0
196,0,The Tempur-Pedic® Swedish Sleep System™.,0
197,0,Preteens.,0
198,0,Dick fingers.,0
199,0,A cooler full of organs.,0
200,0,Shapeshifters.,0
201,0,The Care Bear Stare.,0
202,0,Erectile dysfunction.,0
203,0,Keanu Reeves.,0
204,0,The Virginia Tech Massacre.,0
205,0,The Underground Railroad.,0
206,0,The chronic.,0
207,0,Queefing.,0
208,0,Heartwarming orphans.,0
209,0,A thermonuclear detonation.,0
210,0,Cheating in the Special Olympics.,0
211,0,Tangled Slinkys.,0
212,0,A moment of silence.,0
213,0,Civilian casualties.,0
214,0,Catapults.,0
215,0,Sharing needles.,0
216,0,Ethnic cleansing.,0
217,0,Emotions.,0
218,0,Children on leashes.,0
219,0,Balls.,0
220,0,Homeless people.,0
221,0,Eating all of the cookies before the AIDS bake-sale.,0
222,0,Old-people smell.,0
223,0,Farting and walking away.,0
224,0,The inevitable heat death of the universe.,0
225,0,The violation of our most basic human rights.,0
226,0,Fingering.,0
227,0,The placenta.,0
228,0,"The Rev. Dr. Martin Luther King, Jr.",0
229,0,Leprosy.,0
230,0,Sperm whales.,0
231,0,Multiple stab wounds.,0
232,0,Flightless birds.,0
233,0,Grave robbing.,0
234,0,Home video of Oprah sobbing into a Lean Cuisine®.,0
235,0,Oompa-Loompas.,0
236,0,A murder most foul.,0
237,0,Tentacle porn.,0
238,0,Daddy issues.,0
239,0,Bill Nye the Science Guy.,0
240,0,Peeing a little bit.,0
241,0,The miracle of childbirth.,0
242,0,"""Tweeting.""",0
243,0,Another goddamn vampire movie.,0
244,0,Britney Spears at 55.,0
245,0,New Age music.,0
246,0,The Make-A-Wish® Foundation.,0
247,0,Firing a rifle into the air while balls deep in a squealing hog.,0
248,0,Active listening.,0
249,0,Nicolas Cage.,0
250,0,72 virgins.,0
251,0,Stranger danger.,0
252,0,Hope.,0
253,0,A gassy antelope.,0
254,0,BATMAN!!!,0
255,0,Chivalry.,0
256,0,Passing a kidney stone.,0
257,0,Black people.,0
258,0,Natalie Portman.,0
259,0,A mime having a stroke.,0
260,0,Classist undertones.,0
261,0,Sean Penn.,0
262,0,A mating display.,0
263,0,The Holy Bible.,0
264,0,Hot Pockets®.,0
265,0,A sad handjob.,0
266,0,Pulling out.,0
267,0,Serfdom.,0
268,0,Pixelated bukkake.,0
269,0,Dropping a chandelier on your enemies and riding the rope up.,0
270,0,Jew-fros.,0
271,0,Waiting 'til marriage.,0
272,0,Euphoria™ by Calvin Klein.,0
273,0,The World of Warcraft.,0
274,0,Lunchables™.,0
275,0,The Kool-Aid Man.,0
276,0,The Trail of Tears.,0
277,0,Self-loathing.,0
278,0,A falcon with a cap on its head.,0
279,0,Historically black colleges.,0
280,0,Not reciprocating oral sex.,0
281,0,Global warming.,0
282,0,Ghosts.,0
283,0,World peace.,0
284,0,A can of whoop-ass.,0
285,0,The Dance of the Sugar Plum Fairy.,0
286,0,A zesty breakfast burrito.,0
287,0,Switching to Geico®.,0
288,0,Aaron Burr.,0
289,0,Picking up girls at the abortion clinic.,0
290,0,Land mines.,0
291,0,Former President George W. Bush.,0
292,0,Geese.,0
293,0,Mutually-assured destruction.,0
294,0,College.,0
295,0,Date rape.,0
296,0,Bling.,0
297,0,A gentle caress of the inner thigh.,0
298,0,A time travel paradox.,0
299,0,Seppuku.,0
300,0,Poor life choices.,0
301,0,Waking up half-naked in a Denny's parking lot.,0
302,0,Italians.,0
303,0,GoGurt®.,0
304,0,Finger painting.,0
305,0,"Robert Downey, Jr.",0
306,0,My soul.,0
307,0,Smegma.,0
308,0,Embryonic stem cells.,0
309,0,The South.,0
310,0,Christopher Walken.,0
311,0,Gloryholes.,0
312,0,Pretending to care.,0
313,0,Public ridicule.,0
314,0,A tiny horse.,0
315,0,Arnold Schwarzenegger.,0
316,0,A stray pube.,0
317,0,Jerking off into a pool of children's tears.,0
318,0,Child abuse.,0
319,0,Glenn Beck convulsively vomiting as a brood of crab spiders hatches in his brain and erupts from his tear ducts.,0
320,0,Menstruation.,0
321,0,A sassy black woman.,0
322,0,Re-gifting.,0
323,0,Penis envy.,0
324,0,A sausage festival.,0
325,0,Getting really high.,0
326,0,Drinking alone.,0
327,0,Too much hair gel.,0
328,0,Hulk Hogan.,0
329,0,Overcompensation.,0
330,0,Foreskin.,0
331,0,Free samples.,0
332,0,Shaquille O'Neal's acting career.,0
333,0,Five-Dollar Footlongs™.,0
334,0,Whipping it out.,0
335,0,A snapping turtle biting the tip of your penis.,0
336,0,Muhammad (Praise Be Unto Him).,0
337,0,Half-assed foreplay.,0
338,0,Dental dams.,0
339,0,Being a dick to children.,0
340,0,Famine.,0
341,0,Chainsaws for hands.,0
342,0,A gypsy curse.,0
343,0,AXE Body Spray.,0
344,0,The Force.,0
345,0,Explosions.,0
346,0,Cybernetic enhancements.,0
347,0,Customer service representatives.,0
348,0,White privilege.,0
349,0,Gandhi.,0
350,0,Road head.,0
351,0,God.,0
352,0,Poorly-timed Holocaust jokes.,0
353,0,8 oz. of sweet Mexican black-tar heroin.,0
354,0,Judge Judy.,0
355,0,The Little Engine That Could.,0
356,0,Altar boys.,0
357,0,"Mr. Clean, right behind you.",0
358,0,Vehicular manslaughter.,0
359,0,Dwarf tossing.,0
360,0,Friction.,0
361,0,Lady Gaga.,0
362,0,Scientology.,0
363,0,Justin Bieber.,0
364,0,A death ray.,0
365,0,Vigilante justice.,0
366,0,The Pope.,0
367,0,A sea of troubles.,0
368,0,Alcoholism.,0
369,0,Poor people.,0
370,0,A fetus.,0
371,0,Women in yogurt commercials.,0
372,0,Exactly what you'd expect.,0
373,0,Flesh-eating bacteria.,0
374,0,My genitals.,0
375,0,A balanced breakfast.,0
376,0,Dick Cheney.,0
377,0,Lockjaw.,0
378,0,Natural male enhancement.,0
379,0,Take-backsies.,0
380,0,Winking at old people.,0
381,0,Opposable thumbs.,0
382,0,Flying sex snakes.,0
383,0,Passive-aggressive Post-it notes.,0
384,0,Inappropriate yodeling.,0
385,0,Golden showers.,0
386,0,Racism.,0
387,0,Copping a feel.,0
388,0,Auschwitz.,0
389,0,Elderly Japanese men.,0
390,0,Raping and pillaging.,0
391,0,Kids with ass cancer.,0
392,0,Pictures of boobs.,0
393,0,The homosexual agenda.,0
394,0,A homoerotic volleyball montage.,0
395,0,Sexual tension.,0
396,0,Hurricane Katrina.,0
397,0,Fiery poops.,0
398,0,Science.,0
399,0,Dry heaving.,0
400,0,Cards Against Humanity.,0
401,0,Fancy Feast®.,0
402,0,A bleached asshole.,0
403,0,Lumberjack fantasies.,0
404,0,American Gladiators.,0
405,0,Autocannibalism.,0
406,0,Sean Connery.,0
407,0,William Shatner.,0
408,0,Domino's™ Oreo™ Dessert Pizza.,0
409,0,An asymmetric boob job.,0
410,0,Centaurs.,0
411,0,A micropenis.,0
412,0,Asians who aren't good at math.,0
413,0,The milk man.,0
414,0,Waterboarding.,0
415,0,Wifely duties.,0
416,0,Loose lips.,0
417,0,The Blood of Christ.,0
418,0,Actually taking candy from a baby.,0
419,0,The token minority.,0
420,0,Jibber-jabber.,0
421,0,A brain tumor.,0
422,0,Bingeing and purging.,0
423,0,A clandestine butt scratch.,0
424,0,The Chinese gymnastics team.,0
425,0,Prancing.,0
426,0,The Hamburglar.,0
427,0,Police brutality.,0
428,0,Man meat.,0
429,0,Forgetting the Alamo.,0
430,0,Eating the last known bison.,0
431,0,Crystal meth.,0
432,0,Booby-trapping the house to foil burglars.,0
433,0,My inner demons.,0
434,0,Third base.,0
435,0,Soiling oneself.,0
436,0,Laying an egg.,0
437,0,Giving 110%.,0
438,0,Hot people.,0
439,0,Friendly fire.,0
440,0,Count Chocula.,0
441,0,Pac-Man uncontrollably guzzling cum.,0
442,0,Estrogen.,0
443,0,My vagina.,0
444,0,Kanye West.,0
445,0,A robust mongoloid.,0
446,0,The Donald Trump Seal of Approval™.,0
447,0,The true meaning of Christmas.,0
448,0,"Her Royal Highness, Queen Elizabeth II.",0
449,0,An honest cop with nothing left to lose.,0
450,0,Feeding Rosie O'Donnell.,0
451,0,The Amish.,0
452,0,The terrorists.,0
453,0,When you fart and a little bit comes out.,0
454,0,Pooping back and forth. Forever.,0
455,0,Friends who eat all the snacks.,0
456,0,Cockfights.,0
457,0,Bitches.,0
458,0,Seduction.,0
459,1,_?  There's an app for that.,1
460,1,Why can't I sleep at night?,1
461,1,What's that smell?,1
462,1,I got 99 problems but _ ain't one.,1
463,1,Maybe she's born with it.  Maybe it's _.,1
464,1,What's the next Happy Meal® toy?,1
465,1,Anthropologists have recently discovered a primitive tribe that worships _.,1
466,1,It's a pity that kids these days are all getting involved with _.,1
467,1,"During Picasso's often-overlooked Brown Period, he produced hundreds of paintings of _.",1
468,1,Alternative medicine is now embracing the curative powers of _.,1
469,1,And the Academy Award for _ goes to _.,2
470,1,What's that sound?,1
471,1,What ended my last relationship?,1
472,1,MTV's new reality show features eight washed-up celebrities living with _.,1
473,1,I drink to forget _.,1
474,1,"I'm sorry professor, but I couldn't complete my homework because of _.",1
475,1,What is Batman's guilty pleasure?,1
476,1,This is the way the world ends \ This is the way the world ends \ Not with a bang but with _.,1
477,1,What's a girl's best friend?,1
478,1,TSA guidelines now prohibit _ on airplanes.,1
479,1,_.  That's how I want to die.,1
480,1,"For my next trick, I will pull _ out of _.",2
481,1,"In the new Disney Channel Original Movie, Hannah Montana struggles with _ for the first time.",1
482,1,_ is a slippery slope that leads to _.,2
483,1,What does Dick Cheney prefer?,1
484,1,"Dear Abby, I'm having some trouble with _ and would like your advice.",1
485,1,"Instead of coal, Santa now gives the bad children _.",1
486,1,What's the most emo?,1
487,1,"In 1,000 years when paper money is but a distant memory, _ will be our currency.",1
488,1,What's the next superhero/sidekick duo?,2
489,1,"In M. Night Shyamalan's new movie, Bruce Willis discovers that _ had really been _ all along.",2
490,1,"A romantic, candlelit dinner would be incomplete without _.",1
491,1,_.  Becha can't have just one!,1
492,1,White people like _.,1
493,1,"_.  High five, bro.",1
494,1,Next from J.K. Rowling: Harry Potter and the Chamber of _.,1
495,1,BILLY MAYS HERE FOR _.,1
496,1,"In a world ravaged by _, our only solace is _.",2
497,1,War!  What is it good for?,1
498,1,"During sex, I like to think about _.",1
499,1,What are my parents hiding from me?,1
500,1,What will always get you laid?,1
501,1,"In L.A. County Jail, word is you can trade 200 cigarettes for _.",1
502,1,What did I bring back from Mexico?,1
503,1,What don't you want to find in your Chinese food?,1
504,1,What will I bring back in time to convince people that I am a powerful wizard?,1
505,1,How am I maintaining my relationship status?,1
506,1,_.  It's a trap!,1
507,1,"Coming to Broadway this season, _: The Musical.",1
508,1,"While the United States raced the Soviet Union to the moon, the Mexican government funneled millions of pesos into research on _.",1
509,1,"After the earthquake, Sean Penn brought _ to the people of Haiti.",1
510,1,"Next on ESPN2, the World Series of _.",1
511,1,Step 1: _.  Step 2: _.  Step 3: Profit.,2
512,1,Rumor has it that Vladimir Putin's favorite dish is _ stuffed with _.,2
513,1,"But before I kill you, Mr. Bond, I must show you _.",1
514,1,What gives me uncontrollable gas?,1
515,1,What do old people smell like?,1
516,1,The class field trip was completely ruined by _.,1
517,1,"When Pharaoh remained unmoved, Moses called down a Plague of _.",1
518,1,What's my secret power?,1
519,1,What's there a ton of in heaven?,1
520,1,"What would grandma find disturbing, yet oddly charming?",1
521,1,I never truly understood _ until I encountered _.,2
522,1,What did the U.S. airdrop to the children of Afghanistan?,1
523,1,What helps Obama unwind?,1
524,1,What did Vin Diesel eat for dinner?,1
525,1,_: good to the last drop.,1
526,1,Why am I sticky?,1
527,1,What gets better with age?,1
528,1,"_: kid-tested, mother-approved.",1
529,1,What's the crustiest?,1
530,1,What's Teach for America using to inspire inner city students to succeed?,1
531,1,Studies show that lab rats navigate mazes 50% faster after being exposed to _.,1
532,1,Life for American Indians was forever changed when the White Man introduced them to _.,1
533,1,Make a haiku.,3
534,1,"I do not know with what weapons World War III will be fought, but World War IV will be fought with _.",1
535,1,Why do I hurt all over?,1
536,1,What am I giving up for Lent?,1
537,1,"In Michael Jackson's final moments, he thought about _.",1
538,1,"In an attempt to reach a wider audience, the Smithsonian Museum of Natural History has opened an interactive exhibit on _.",1
539,1,"When I am President of the United States, I will create the Department of _.",1
540,1,"Lifetime® presents _, the story of _.",2
541,1,"When I am a billionaire, I shall erect a 50-foot statue to commemorate _.",1
542,1,"When I was tripping on acid, _ turned into _.",2
543,1,"That's right, I killed _.  How, you ask?  _.",2
544,1,What's my anti-drug?,1
545,1,_ + _ = _.,3
546,1,What never fails to liven up the party?,1
547,1,What's the new fad diet?,1
548,1,Major League Baseball has banned _ for giving players an unfair advantage.,1